QID,CID,Category & chapter,Question,Answer format,Answer format guidance,Info and guidance,Answer options,1-7 Explanations,How this answer will be used
14021,14,Identity & Conditioning,"I sometimes go for intense sex to snap out of feeling stressed, flat, or shut down.",1-7 scale,Select how true this statement is for you.,"If intensity has become a regular way you move through stress, numbness, or feeling cut off, let that count here.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: intense sex is not usually something you seek to regulate stress, numbness, or disconnection.
2 = Mostly not true: intensity may appeal for other reasons sometimes, but it is usually not about escaping numbness or stress.
3 = Slightly not true: under certain conditions intensity might serve that function a little, though it is not a strong pattern.
4 = Mixed / depends: under certain conditions, intensity can serve that role for you, but it is not a major pattern.
5 = Slightly true: when stressed, numb, or disconnected, you sometimes seek stronger sexual intensity to shift your state.
6 = Mostly true: intense sex fairly often functions as a way to feel more alive or move out of stress, numbness, or disconnection.
7 = Very true: when stressed, numb, or disconnected, you often seek stronger sexual intensity to shift your state or feel more alive.","This does not define who you are sexually. We use it to notice when sex may be functioning more as stress relief or escape, so the recommendations stay supportive."
15000,15,Background & Lifestyle,"Sleep, stress, health, and life stage all shape how desire shows up. A few quick questions help us read your results in real-life context.",,,,,,
15001,15,Background & Lifestyle,Which country do you live in?,Single choice,Use your main place of residence.,N/A,Country list,N/A,"We use this to keep examples, language, and recommendations appropriate to your general cultural context."
15002,15,Background & Lifestyle,Which ZIP / postal code do you live in?,Open response,Enter your current postal code for your main residence.,N/A,ZIP / postal code,N/A,We use this only for general regional context when tailoring recommendations and examples.
15003,15,Background & Lifestyle,Which age range are you in?,Single choice,Go with the band you fall into today.,N/A,"- 18–24
- 25–34
- 35–44
- 45–54
- 55–64
- 65+",N/A,This helps us adapt examples and recommendations to life-stage context without stereotyping.
15004,15,Background & Lifestyle,What kind of relationship setup are you in right now?,Single choice,Select one option.,Doesn't have to fit perfectly — pick what's closest to your real situation right now.,"- Single
- In one exclusive relationship (only each other)
- Mostly exclusive, with some agreed exceptions
- Non-exclusive, with agreed limits — known as 'open'
- Multiple committed relationships, with everyone's knowledge — known as 'polyamorous'
- Multiple connections, prioritizing my own independence (no shared household)
- Still figuring it out / doesn't fit a label",N/A,"This changes which scripts and advice make sense for you—single, monogamous, open, poly, or another structure."
15005,15,Background & Lifestyle,Do you have children?,Single choice,Select one option.,"If your kids are different ages, answer based on the youngest. Helps us estimate your time, energy, and privacy load.","- No
- Yes, youngest is 0–3
- Yes, youngest is 4–10
- Yes, youngest is 11–17
- Yes, children are 18+ and live with me
- Yes, children are 18+ and do not live with me
- Prefer not to answer",N/A,"This helps us factor in time, fatigue, and caregiving load so suggestions feel realistic in daily life."
15006,15,Background & Lifestyle,How high is your overall stress level most of the time?,Single choice,Select one option.,"Think about your usual baseline, not just this week. Stress affects desire, patience, and arousal more than people realize.","- Very low
- Low
- Medium
- High
- Very high",N/A,We use this to avoid recommending high-effort or novelty-heavy steps when your bandwidth is already low.
15007,15,Background & Lifestyle,How rested do you usually feel when you wake up?,Single choice,Select one option.,"Answer for how you usually feel right when you wake — before coffee, news, or routine kicks in.","- Very rested
- Rather rested
- In between
- Rather tired
- Very tired",N/A,"This helps us judge whether low energy, not low desire, may be part of the picture."
15008,15,Background & Lifestyle,"Do you live with any long-term physical or mental health conditions that affect your energy, mood, or everyday functioning?",Single choice,Select one option.,"Ongoing conditions that meaningfully affect your daily life, not short rough patches. No diagnosis details needed.","- No
- Yes, mainly physical health
- Yes, mainly mental health
- Yes, both physical and mental health
- I'm not sure
- Prefer not to answer",N/A,"We use this to pace the report more gently when health, energy, or mood are affecting sexuality."
15009,15,Background & Lifestyle,"Are you currently taking any medication or hormones that you think might affect your energy, mood, or sex drive?",Single choice,Select one option.,"Examples: antidepressants, hormonal birth control, testosterone. Answer from what you notice — not what's 'supposed' to happen.","- No
- Yes, lowers my drive
- Yes, increases my drive
- Yes, not sure how it affects me
- Prefer not to answer",N/A,This helps us separate your personal pattern from possible medication or hormone effects and make the advice more realistic.
15010,15,Background & Lifestyle,What is your gender identity?,Single choice,Select one option.,Pick the option that fits best — you can also choose not to label.,"- Woman
- Man
- Nonbinary
- Other
- I'd rather not label this",N/A,We use this to make the language and examples in your report fit you better.
15011,15,Background & Lifestyle,What is your sexual orientation?,Single choice,Select one option.,Pick the option that fits best — you can also choose not to label.,"- Heterosexual
- Homosexual
- Bisexual
- Pansexual
- Queer
- Questioning / exploring
- Other
- I don't use a label",N/A,We use this to avoid assumptions and make the language and examples more relevant to your context.
16000,16,Next Steps & Preferences,What you actually want next — and what's realistic for you right now — shapes the kind of plan we suggest.,,,,,,
16001,16,Next Steps & Preferences,Which changes would actually improve your sex life over the next 3 months? (Pick all that apply.),Multiple choice,Select all that apply.,What would make the biggest real difference in 3 months — not what sounds important on paper?,"- Wanting sex more often — more drive, easier to get turned on
- More pleasure or easier orgasms
- Less pain or physical discomfort during sex
- Feeling more emotionally close during sex
- Talking more openly about what I want and don't want
- More excitement, freshness, or playfulness
- Feeling more confident in my own body
- Feeling more connected to my own sexuality
- Healing past experiences that still affect me sexually
- Being more on the same page with someone I'm involved with
- Something else",N/A,"This sets the main focus of your next-step suggestions, so the report starts with what matters most to you now."
16002,16,Next Steps & Preferences,Working on my sexuality is a priority for me right now.,1-7 scale,Select how true this statement is for you.,"Think about real life right now — bandwidth, motivation, life pressures — not how important it feels in theory.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: this is not a priority right now, and other parts of life clearly come first.
2 = Mostly not true: this matters a little, but it is still low on your list of priorities.
3 = Slightly not true: this has some relevance for you, though it is not yet a strong focus.
4 = Mixed / depends: this matters, but it is one priority among several rather than the main one.
5 = Slightly true: this feels meaningfully worth your attention and is becoming a clear area to work on.
6 = Mostly true: this feels like a strong current priority and something you genuinely want to address.
7 = Very true: this feels urgent, central, or highly important to focus on now.",This tells us whether to make your recommendations more immediate and action-oriented or more exploratory and grounded.
16005,16,Next Steps & Preferences,Which of these best describes where your sexuality feels right now?,Single choice,Select one option.,"This is your current season, not a fixed identity. Pick what fits the past 1–2 months.","- Pausing — I need a break from sex right now
- Repairing — I'm working to feel safe and close again after something hurt
- Waking up — I'm figuring out what I actually enjoy
- Experimenting — I'm ready to try new things and have more fun
- Steady — Sex feels normal and good in my life
- Transcending — Sex feels connected to something bigger than just pleasure",N/A,"This helps us locate the season you are in now—paused, repairing, awakening, expanding, grounded, or evolving—so the report meets you where you are."
16006,16,Next Steps & Preferences,Where would you like your sexuality to be 3–6 months from now?,Single choice,Select one option.,Several may appeal. Pick the direction that would make the biggest real difference for you right now.,"- More rest and space from sex right now
- Rebuilding trust and safety in my sexuality
- Rediscover what turns me on and what I enjoy
- Explore more, try new things, and feel more confident
- I want sex to feel natural and integrated into my everyday life
- I want sex to feel spiritually meaningful and deeply connected",N/A,"This shows the direction you want to grow, so recommendations aim toward your desired phase instead of only describing the present."
16007,16,Next Steps & Preferences,"When you want to improve something important in your life (health, relationships, confidence), what's usually your first move?",Single choice,Select one option.,Picture real moments of change you've actually made — what's your first step that genuinely gets you moving?,"- Read, watch, or listen on my own
- Use a tool — an app, journal, or worksheet
- Sign up for a program or course
- Work with a professional (therapist, coach, etc.)
- I usually only act once it becomes urgent",N/A,"This helps us decide whether your recommendations should feel more self-directed, relational, structured, or guided."
16008,16,Next Steps & Preferences,What kind of support would actually help you most with your top focus? (Pick all that apply.),Multiple choice,Select all that apply.,Pick what would actually make your next step easier in real life — not what sounds most impressive.,"- Self-guided tools I can use on my own (prompts, exercises, reflections)
- A short, structured program over a few weeks
- A live group, workshop, or circle
- Support I can do together with the person I'm with
- 1-on-1 work with a professional
- Not sure yet",N/A,"This shapes the format of your recommendations—more practical, reflective, structured, or supportive."
16011,16,Next Steps & Preferences,Which of these are already part of your life? (Pick all that apply.),Multiple choice,Select all that apply.,Helps us recommend things that feel familiar and doable — not a whole new world for you to figure out.,"- Therapy, coaching, or counseling
- Books or other long reads
- Apps for things like meditation, sleep, or breathwork
- Paid subscriptions (streaming, podcasts, lifestyle apps)
- Online courses, programs, or paid communities
- None of these",N/A,This helps us understand the kinds of support tools and formats you already engage with.
16012,16,Next Steps & Preferences,"Roughly how much do you spend per year on personal growth — books, courses, therapy, coaching, apps?",Single choice,Select one option.,A rough estimate is fine. Include both one-off purchases and ongoing subscriptions or memberships.,"- €0
- €1–99
- €100–299
- €300–699
- €700–1,499
- €1,500+",N/A,This gives a rough sense of the level of depth and commitment that may feel realistic in your next-step suggestions.
16013,16,Next Steps & Preferences,Understanding my sexuality is important to me.,1-7 scale,Select how true this statement is for you.,"Look at the bigger picture of your life. For some, sexuality is central; for others it matters but isn't the main focus.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: understanding your sexuality does not feel central to your life right now.
2 = Mostly not true: this matters a little, but it is not a major life priority for you.
3 = Slightly not true understanding your sexuality has some value, though it is not yet especially central.
4 = Mixed / depends: it matters, but it is one meaningful area among several in your life.
5 = Slightly true: understanding your sexuality feels meaningfully relevant to your wellbeing, relationships, or growth.
6 = Mostly true: this feels like a strong area of importance for your life and self-understanding.
7 = Very true: understanding your sexuality feels deeply important to your life, wellbeing, or growth.",This helps us decide how central this topic should be in your recommendations and how much depth to give it.
16014,16,Next Steps & Preferences,What's actually getting in the way of improving your sexuality right now? (Pick all that apply.),Multiple choice,Select all that apply.,What's truly blocking movement right now — not what sounds important in theory?,"- I'm not sure what would actually help
- I don't have enough time or energy
- The person I'm with isn't on the same page or willing to engage
- It doesn't feel emotionally safe enough yet
- Shame, self-judgment, or inner pressure
- Physical pain or body issues
- Useful support feels too expensive or hard to access
- I struggle to keep going with things over time
- Nothing major is in the way right now
- Something else",N/A,This tells us which obstacles to prioritize first so the report focuses on what is actually blocking progress.
16015,16,Next Steps & Preferences,Would you like to receive free LoveIQ hints and insights?,Single choice,Select one option.,"This includes insights on sexuality, intimacy, research papers, news and future advanced tests.","- Yes, I want to keep learning about myself.
- No, I am not interested in this growth opportunity.",N/A,
